Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Location,Fraud_Label
TXN_33553,USER_1834,39.79,POS,14-08-2023 19:30,Sydney,0
TXN_9427,USER_7875,1.19,Bank Transfer,07-06-2023 04:01,New York,1
TXN_199,USER_2734,28.96,Online,20-06-2023 15:25,Mumbai,1
TXN_12447,USER_2617,254.32,ATM Withdrawal,07-12-2023 00:31,New York,1
TXN_39489,USER_2014,31.28,POS,11-11-2023 23:44,Mumbai,1
TXN_42724,USER_6852,168.55,Online,05-06-2023 20:55,Tokyo,0
TXN_10822,USER_5052,3.79,POS,07-11-2023 01:18,London,0
TXN_49498,USER_4660,7.08,ATM Withdrawal,25-02-2023 03:43,London,1
TXN_4144,USER_1584,34.25,ATM Withdrawal,09-03-2023 22:51,Tokyo,0
TXN_36958,USER_9498,16.24,POS,20-09-2023 17:27,Mumbai,0
TXN_43106,USER_2848,367.5,POS,11-04-2023 07:11,Mumbai,0
TXN_38695,USER_6860,50.44,ATM Withdrawal,06-08-2023 08:22,London,0
TXN_6188,USER_6728,55.5,ATM Withdrawal,20-07-2023 03:10,London,1
TXN_1414,USER_6655,54.09,Bank Transfer,17-11-2023 20:13,Sydney,0
TXN_18471,USER_7651,9.66,Online,20-06-2023 17:15,New York,0
TXN_29282,USER_1248,64.78,POS,03-07-2023 09:20,Mumbai,0
TXN_15177,USER_9349,37.11,POS,21-12-2023 08:48,Sydney,0
TXN_34304,USER_9413,1.58,Bank Transfer,08-04-2023 09:13,New York,0
TXN_12609,USER_5861,178.56,POS,16-08-2023 10:01,Tokyo,1
TXN_12144,USER_5939,19.37,Bank Transfer,29-04-2023 04:34,London,0
TXN_6113,USER_5566,22.02,ATM Withdrawal,28-12-2023 04:45,Sydney,0
TXN_15908,USER_4615,203.97,ATM Withdrawal,18-06-2023 23:36,New York,1
TXN_821,USER_3832,55.35,POS,11-05-2023 16:15,Sydney,0
TXN_15118,USER_9751,17.17,ATM Withdrawal,25-11-2023 07:35,Sydney,0
TXN_13466,USER_9775,72.33,ATM Withdrawal,14-08-2023 21:55,Sydney,1
TXN_26497,USER_6725,188.75,Online,16-07-2023 07:49,Sydney,0
TXN_42111,USER_3085,2.61,Bank Transfer,11-01-2023 00:41,Tokyo,0
TXN_30188,USER_7987,195.76,Online,28-11-2023 19:13,Mumbai,0
TXN_37237,USER_1116,8.06,ATM Withdrawal,09-07-2023 22:27,Sydney,1
TXN_33109,USER_8088,73.34,Bank Transfer,20-04-2023 13:18,London,0
TXN_36480,USER_4147,9.82,Bank Transfer,08-11-2023 14:12,Sydney,1
TXN_24148,USER_7419,197.21,Online,29-04-2023 17:19,Sydney,1
TXN_5503,USER_7666,56.45,ATM Withdrawal,22-08-2023 00:16,Mumbai,0
TXN_3918,USER_5135,0.32,Online,18-11-2023 02:35,Sydney,0
TXN_38478,USER_8041,63.83,POS,24-04-2023 20:18,Sydney,0
